source_entity,source_attribute,target_table,target_column,semantic_score,mde_status,decision
patient,patient_id,,,0.0,,REJECT
patient,name,,,0.0,,REJECT
patient,gender,,,0.0,,REJECT
patient,dob,,,0.0,,REJECT
patient,deceased,,,0.0,,REJECT
patient,allergies,,,0.0,,REJECT
patient,caregiver,,,0.0,,REJECT
caregivers,cgid,CAREGIVERS,,0.0,,REJECT
caregivers,label,CAREGIVERS,,0.0,,REJECT
caregivers,description,CAREGIVERS,,0.0,,REJECT
contact,phone,,,0.0,,REJECT
contact,address->address,,,0.0,,REJECT
address,line1,,,0.0,,REJECT
address,city,,,0.0,,REJECT
address,country,,,0.0,,REJECT
admission,admission_id,ADMISSIONS,,0.0,,REJECT
admission,admission_type,ADMISSIONS,,0.0,,REJECT
admission,admit_time,ADMISSIONS,,0.0,,REJECT
admission,discharge_time,ADMISSIONS,,0.0,,REJECT
admission,telemedicine_flag,ADMISSIONS,,0.0,,REJECT
admission,visit_mode,ADMISSIONS,,0.0,,REJECT
admission,prescriptions->prescription,ADMISSIONS,,0.0,,REJECT
admission,imaging->imaging,ADMISSIONS,,0.0,,REJECT
prescription,drug,prescriptions,,0.0,,REJECT
prescription,dose,prescriptions,,0.0,,REJECT
prescription,route,prescriptions,prescriptions.route,0.98,,EVOLVE
prescription,frequency,prescriptions,,0.0,,REJECT
imaging,modality,,,0.0,,REJECT
imaging,body_site,,,0.0,,REJECT
imaging,ai_annotations->aiannotation,,,0.0,,REJECT
aiannotation,label,,,0.0,,REJECT
aiannotation,confidence,,,0.0,,REJECT
