,table_name_left,column_index_left,table_name_right,column_index_right,label
0,MusicAlbum_petesears.com_September2020_CPA.json.gz,0,SportsEvent_betway.it_September2020_CPA.json.gz,3,0
1,SportsEvent_betway.it_September2020_CPA.json.gz,0,MusicAlbum_petesears.com_September2020_CPA.json.gz,3,0
2,MusicAlbum_petesears.com_September2020_CPA.json.gz,0,SportsEvent_betway.it_September2020_CPA.json.gz,4,0
3,SportsEvent_betway.it_September2020_CPA.json.gz,0,MusicAlbum_petesears.com_September2020_CPA.json.gz,1,0
4,MusicAlbum_petesears.com_September2020_CPA.json.gz,0,SportsEvent_betway.it_September2020_CPA.json.gz,2,0
5,MusicAlbum_petesears.com_September2020_CPA.json.gz,2,SportsEvent_betway.it_September2020_CPA.json.gz,0,0
6,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,0,Place_bluesheets.com_September2020_CPA.json.gz,4,0
7,Place_bluesheets.com_September2020_CPA.json.gz,0,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,4,0
8,Place_bluesheets.com_September2020_CPA.json.gz,3,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,0,0
9,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,3,Place_bluesheets.com_September2020_CPA.json.gz,0,0
10,Place_bluesheets.com_September2020_CPA.json.gz,1,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,2,0
11,Place_bluesheets.com_September2020_CPA.json.gz,6,MusicAlbum_dwightsongs.net_September2020_CPA.json.gz,4,0
12,Movie_quotecatalog.com_September2020_CPA.json.gz,0,Restaurant_millersalehouse.com_September2020_CPA.json.gz,8,0
13,Movie_quotecatalog.com_September2020_CPA.json.gz,7,Restaurant_millersalehouse.com_September2020_CPA.json.gz,0,0
14,Restaurant_millersalehouse.com_September2020_CPA.json.gz,5,Movie_quotecatalog.com_September2020_CPA.json.gz,0,0
15,Restaurant_millersalehouse.com_September2020_CPA.json.gz,0,Movie_quotecatalog.com_September2020_CPA.json.gz,2,0
16,Movie_quotecatalog.com_September2020_CPA.json.gz,5,Restaurant_millersalehouse.com_September2020_CPA.json.gz,4,0
17,Movie_quotecatalog.com_September2020_CPA.json.gz,3,Restaurant_millersalehouse.com_September2020_CPA.json.gz,4,0
18,TVEpisode_rfic2009.org_September2020_CPA.json.gz,4,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,0,0
19,TVEpisode_rfic2009.org_September2020_CPA.json.gz,0,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,2,0
20,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,0,TVEpisode_rfic2009.org_September2020_CPA.json.gz,3,0
21,TVEpisode_rfic2009.org_September2020_CPA.json.gz,0,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,13,0
22,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,8,TVEpisode_rfic2009.org_September2020_CPA.json.gz,0,0
23,Restaurant_restaurant-inattendu.fr_September2020_CPA.json.gz,4,TVEpisode_rfic2009.org_September2020_CPA.json.gz,1,0
24,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,3,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,1,0
25,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,0,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,3,0
26,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,1,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,1,0
27,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,0,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,0,0
28,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,2,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,0,0
29,MusicRecording_tv-mis.cz_September2020_CPA.json.gz,3,Place_eightpointtwo.co.uk_September2020_CPA.json.gz,1,0
30,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,4,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,4,0
31,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,0,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,3,0
32,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,4,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,1,0
33,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,0,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,0,0
34,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,1,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,3,0
35,Product_alanmancesuzuki.com.au_September2020_CPA.json.gz,6,CreativeWork_flylanddesigns.com_September2020_CPA.json.gz,2,0
36,Restaurant_ellgeebe.com_September2020_CPA.json.gz,4,Event_arcadianews.com_September2020_CPA.json.gz,1,0
37,Restaurant_ellgeebe.com_September2020_CPA.json.gz,1,Event_arcadianews.com_September2020_CPA.json.gz,3,0
38,Event_arcadianews.com_September2020_CPA.json.gz,1,Restaurant_ellgeebe.com_September2020_CPA.json.gz,0,0
39,Event_arcadianews.com_September2020_CPA.json.gz,4,Restaurant_ellgeebe.com_September2020_CPA.json.gz,1,0
40,Event_arcadianews.com_September2020_CPA.json.gz,0,Restaurant_ellgeebe.com_September2020_CPA.json.gz,2,0
41,Event_arcadianews.com_September2020_CPA.json.gz,4,Restaurant_ellgeebe.com_September2020_CPA.json.gz,5,0
42,Event_chrisjerichocruise.com_September2020_CPA.json.gz,0,Place_cromwell-intl.com_September2020_CPA.json.gz,3,0
43,Place_cromwell-intl.com_September2020_CPA.json.gz,1,Event_chrisjerichocruise.com_September2020_CPA.json.gz,8,0
44,Place_cromwell-intl.com_September2020_CPA.json.gz,0,Event_chrisjerichocruise.com_September2020_CPA.json.gz,0,0
45,Event_chrisjerichocruise.com_September2020_CPA.json.gz,6,Place_cromwell-intl.com_September2020_CPA.json.gz,1,0
46,Event_chrisjerichocruise.com_September2020_CPA.json.gz,8,Place_cromwell-intl.com_September2020_CPA.json.gz,3,0
47,Place_cromwell-intl.com_September2020_CPA.json.gz,0,Event_chrisjerichocruise.com_September2020_CPA.json.gz,10,0
48,Person_billhurst.com_September2020_CPA.json.gz,3,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,1,0
49,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,8,Person_billhurst.com_September2020_CPA.json.gz,0,0
50,Person_billhurst.com_September2020_CPA.json.gz,1,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,1,0
51,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,3,Person_billhurst.com_September2020_CPA.json.gz,0,0
52,Person_billhurst.com_September2020_CPA.json.gz,3,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,7,0
53,Person_billhurst.com_September2020_CPA.json.gz,0,Hotel_smalldanishhotels.com_September2020_CPA.json.gz,6,0
54,SportsEvent_ablseries.com_September2020_CPA.json.gz,2,Hotel_brightyonder.com_September2020_CPA.json.gz,0,0
55,Hotel_brightyonder.com_September2020_CPA.json.gz,4,SportsEvent_ablseries.com_September2020_CPA.json.gz,0,0
56,Hotel_brightyonder.com_September2020_CPA.json.gz,0,SportsEvent_ablseries.com_September2020_CPA.json.gz,1,0
57,Hotel_brightyonder.com_September2020_CPA.json.gz,1,SportsEvent_ablseries.com_September2020_CPA.json.gz,0,0
58,Hotel_brightyonder.com_September2020_CPA.json.gz,2,SportsEvent_ablseries.com_September2020_CPA.json.gz,1,0
59,SportsEvent_ablseries.com_September2020_CPA.json.gz,1,Hotel_brightyonder.com_September2020_CPA.json.gz,4,0
60,SportsEvent_betonbit.com_September2020_CPA.json.gz,3,Place_boothmuseum.org_September2020_CPA.json.gz,0,0
61,SportsEvent_betonbit.com_September2020_CPA.json.gz,0,Place_boothmuseum.org_September2020_CPA.json.gz,3,0
62,SportsEvent_betonbit.com_September2020_CPA.json.gz,4,Place_boothmuseum.org_September2020_CPA.json.gz,0,0
63,Place_boothmuseum.org_September2020_CPA.json.gz,5,SportsEvent_betonbit.com_September2020_CPA.json.gz,0,0
